CountryID,CityID,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category,lat,lng
10,201,59,Moderate,1,Good,30,Good,3,Good,59,Moderate,48.3042,16.3167
10,202,63,Moderate,1,Good,40,Good,0,Good,63,Moderate,47.215,14.8294
10,203,63,Moderate,1,Good,42,Good,2,Good,63,Moderate,48.3453,16.3331
10,204,31,Good,1,Good,31,Good,1,Good,15,Good,47.5833,12.1667
10,205,63,Moderate,1,Good,39,Good,0,Good,63,Moderate,47.3817,15.0972
10,206,56,Moderate,1,Good,45,Good,1,Good,56,Moderate,48.2792,14.2528
10,207,50,Good,1,Good,28,Good,1,Good,50,Good,46.8297,12.7697
10,208,57,Moderate,1,Good,33,Good,1,Good,57,Moderate,48.3058,14.2864
10,209,75,Moderate,1,Good,54,Moderate,0,Good,75,Moderate,48.1917,14.1106
10,210,68,Moderate,1,Good,38,Good,2,Good,68,Moderate,48.5667,16.5667
10,211,70,Moderate,1,Good,67,Moderate,0,Good,70,Moderate,48.1167,16.2667
10,212,36,Good,1,Good,36,Good,1,Good,35,Good,47.2667,9.65
10,213,70,Moderate,1,Good,34,Good,1,Good,70,Moderate,47.8,13.045
10,214,57,Moderate,1,Good,23,Good,2,Good,57,Moderate,47.35,11.7
10,215,66,Moderate,1,Good,37,Good,2,Good,66,Moderate,48.1411,16.4786
10,216,30,Good,1,Good,28,Good,1,Good,30,Good,48.0333,14.4167
10,217,38,Good,1,Good,30,Good,1,Good,38,Good,48.3858,16.2108
10,218,51,Moderate,1,Good,47,Good,0,Good,51,Moderate,47.3069,11.0722
10,219,27,Good,0,Good,27,Good,1,Good,20,Good,47.7167,16.0333
10,220,58,Moderate,1,Good,31,Good,3,Good,58,Moderate,48.0189,16.2922
10,221,30,Good,1,Good,28,Good,1,Good,30,Good,48.2217,14.2397
10,222,64,Moderate,1,Good,39,Good,0,Good,64,Moderate,46.6167,13.8333
10,223,75,Moderate,1,Good,55,Moderate,0,Good,75,Moderate,48.15,14.0167
10,224,35,Good,1,Good,28,Good,1,Good,35,Good,47.8167,16.25
10,225,66,Moderate,1,Good,38,Good,1,Good,66,Moderate,46.8419,14.8408
10,226,58,Moderate,1,Good,31,Good,2,Good,58,Moderate,48.6033,15.1689
11,227,79,Moderate,1,Good,46,Good,0,Good,79,Moderate,40.3667,49.8352
11,228,73,Moderate,1,Good,38,Good,0,Good,73,Moderate,40.5161,50.1164
11,229,52,Moderate,1,Good,35,Good,0,Good,52,Moderate,38.9558,45.6308
11,230,82,Moderate,1,Good,46,Good,0,Good,82,Moderate,56.0167,37.8333
11,231,32,Good,1,Good,32,Good,0,Good,28,Good,41.4225,46.9242
11,232,70,Moderate,1,Good,34,Good,0,Good,70,Moderate,41.0933,45.3661
11,233,81,Moderate,1,Good,48,Good,0,Good,81,Moderate,40.5367,48.9328
11,233,81,Moderate,1,Good,48,Good,0,Good,81,Moderate,40.0842,49.4158
11,234,34,Good,1,Good,34,Good,0,Good,15,Good,40.9419,45.7358
11,235,40,Good,1,Good,34,Good,0,Good,40,Good,41.3597,48.5125
11,236,76,Moderate,1,Good,33,Good,0,Good,76,Moderate,41.4264,48.4356
11,237,64,Moderate,1,Good,42,Good,0,Good,64,Moderate,40.0128,48.4789
11,238,65,Moderate,1,Good,40,Good,0,Good,65,Moderate,39.595,48.9792
11,238,65,Moderate,1,Good,40,Good,0,Good,65,Moderate,28.35,82.1833
11,239,81,Moderate,1,Good,47,Good,0,Good,81,Moderate,41.4411,27.9216
11,239,81,Moderate,1,Good,47,Good,0,Good,81,Moderate,40.5322,49.7164
11,240,31,Good,1,Good,31,Good,0,Good,28,Good,5.4528,-73.814
11,241,41,Good,1,Good,36,Good,0,Good,41,Good,40.9922,45.6289
11,242,49,Good,1,Good,31,Good,0,Good,49,Good,40.5183,47.6542
11,243,39,Good,1,Good,31,Good,0,Good,39,Good,41.6281,48.6828
11,244,64,Moderate,1,Good,44,Good,0,Good,64,Moderate,40.6172,47.15
11,245,95,Moderate,1,Good,36,Good,0,Good,95,Moderate,40.4872,49.9525
11,246,35,Good,1,Good,35,Good,0,Good,30,Good,41.6336,46.6433
12,247,188,Unhealthy,2,Good,127,Unhealthy for Sensitive Groups,3,Good,188,Unhealthy,26.225,50.5775
13,248,165,Unhealthy,1,Good,44,Good,1,Good,165,Unhealthy,22.6863,90.6461
13,249,157,Unhealthy,2,Good,36,Good,2,Good,157,Unhealthy,23.0183,91.41
13,250,61,Moderate,3,Good,35,Good,2,Good,61,Moderate,24.3808,91.4144
13,251,53,Moderate,1,Good,29,Good,1,Good,53,Moderate,22.8167,89.55
13,252,178,Unhealthy,2,Good,49,Good,2,Good,178,Unhealthy,23.9167,90.7167
13,253,60,Moderate,1,Good,42,Good,0,Good,60,Moderate,24.8819,90.7275
13,254,58,Moderate,2,Good,44,Good,1,Good,58,Moderate,25.75,89.2444
13,255,74,Moderate,3,Good,74,Moderate,2,Good,63,Moderate,24.3167,90.175
13,256,65,Moderate,2,Good,65,Moderate,1,Good,60,Moderate,24.665,89.419
13,256,65,Moderate,2,Good,65,Moderate,1,Good,60,Moderate,25.6539,84.9793
13,257,152,Unhealthy,4,Good,18,Good,12,Good,152,Unhealthy,23.9,90.41
14,258,73,Moderate,0,Good,24,Good,0,Good,73,Moderate,13.0975,-59.6167
14,258,73,Moderate,0,Good,24,Good,0,Good,73,Moderate,39.1552,-84.6359
15,259,33,Good,1,Good,33,Good,0,Good,11,Good,55.4667,30.0
15,260,32,Good,1,Good,32,Good,0,Good,12,Good,54.2667,30.9833
15,261,31,Good,1,Good,31,Good,0,Good,22,Good,53.6667,23.8333
15,262,33,Good,1,Good,33,Good,1,Good,20,Good,52.1333,25.55
15,263,38,Good,1,Good,38,Good,0,Good,34,Good,52.2167,24.3667
15,264,34,Good,1,Good,34,Good,0,Good,21,Good,53.8833,25.3
15,265,52,Moderate,1,Good,28,Good,1,Good,52,Moderate,52.7819,28.0525
15,266,35,Good,1,Good,35,Good,0,Good,18,Good,53.417,24.55
15,267,40,Good,1,Good,27,Good,1,Good,40,Good,52.05,29.2667
15,268,35,Good,1,Good,27,Good,3,Good,35,Good,53.9,27.5667
15,269,31,Good,1,Good,31,Good,0,Good,14,Good,53.5833,25.8167
15,270,36,Good,1,Good,36,Good,0,Good,20,Good,54.5092,30.4258
15,271,35,Good,0,Good,35,Good,0,Good,32,Good,55.1167,26.8333
15,272,36,Good,1,Good,36,Good,0,Good,27,Good,52.1153,26.1031
15,273,34,Good,1,Good,34,Good,0,Good,23,Good,52.8,27.5333
15,274,32,Good,1,Good,32,Good,0,Good,17,Good,53.0833,25.3167
15,275,35,Good,1,Good,35,Good,0,Good,29,Good,51.8833,26.85
15,276,36,Good,0,Good,36,Good,0,Good,29,Good,53.1667,24.4667
16,277,51,Moderate,1,Good,38,Good,2,Good,51,Moderate,50.9383,4.0392
16,278,44,Good,1,Good,29,Good,3,Good,44,Good,50.9842,4.8333
16,279,41,Good,1,Good,29,Good,4,Good,41,Good,51.1333,4.3833
16,280,35,Good,1,Good,25,Good,3,Good,35,Good,50.8761,5.3078
