San Marino,SMR,GDP per capita (current US$),
Somalia,SOM,GDP per capita (current US$),446.9815596
Serbia,SRB,GDP per capita (current US$),9230.178316
Sub-Saharan Africa (excluding high income),SSA,GDP per capita (current US$),1632.087531
South Sudan,SSD,GDP per capita (current US$),
Sub-Saharan Africa,SSF,GDP per capita (current US$),1633.180754
Small states,SST,GDP per capita (current US$),12588.92779
Sao Tome and Principe,STP,GDP per capita (current US$),2360.543554
Suriname,SUR,GDP per capita (current US$),4869.134226
Slovak Republic,SVK,GDP per capita (current US$),21391.92533
Slovenia,SVN,GDP per capita (current US$),29291.40062
Sweden,SWE,GDP per capita (current US$),61028.73806
Eswatini,SWZ,GDP per capita (current US$),3978.403528
Sint Maarten (Dutch part),SXM,GDP per capita (current US$),
Seychelles,SYC,GDP per capita (current US$),14653.30939
Syrian Arab Republic,SYR,GDP per capita (current US$),
Turks and Caicos Islands,TCA,GDP per capita (current US$),20908.5827
Chad,TCD,GDP per capita (current US$),685.6902841
East Asia & Pacific (IDA & IBRD countries),TEA,GDP per capita (current US$),9880.09607
Europe & Central Asia (IDA & IBRD countries),TEC,GDP per capita (current US$),9842.052265
Togo,TGO,GDP per capita (current US$),973.2061291
Thailand,THA,GDP per capita (current US$),7066.190546
Tajikistan,TJK,GDP per capita (current US$),897.0475103
Turkmenistan,TKM,GDP per capita (current US$),
Latin America & the Caribbean (IDA & IBRD countries),TLA,GDP per capita (current US$),8108.91587
Timor-Leste,TLS,GDP per capita (current US$),2741.393931
Middle East & North Africa (IDA & IBRD countries),TMN,GDP per capita (current US$),3572.065525
Tonga,TON,GDP per capita (current US$),4426.000637
South Asia (IDA & IBRD),TSA,GDP per capita (current US$),2149.821595
Sub-Saharan Africa (IDA & IBRD countries),TSS,GDP per capita (current US$),1633.180754
Trinidad and Tobago,TTO,GDP per capita (current US$),16032.50277
Tunisia,TUN,GDP per capita (current US$),3807.13915
Turkiye,TUR,GDP per capita (current US$),9661.235975
Tuvalu,TUV,GDP per capita (current US$),5632.002993
Tanzania,TZA,GDP per capita (current US$),1099.287598
Uganda,UGA,GDP per capita (current US$),883.8920323
Ukraine,UKR,GDP per capita (current US$),4835.571777
Upper middle income,UMC,GDP per capita (current US$),10828.05069
Uruguay,URY,GDP per capita (current US$),17313.18835
United States,USA,GDP per capita (current US$),70248.629
Uzbekistan,UZB,GDP per capita (current US$),1983.064723
St. Vincent and the Grenadines,VCT,GDP per capita (current US$),8666.387041
"Venezuela, RB",VEN,GDP per capita (current US$),
British Virgin Islands,VGB,GDP per capita (current US$),
Virgin Islands (U.S.),VIR,GDP per capita (current US$),
Vietnam,VNM,GDP per capita (current US$),3756.489121
Vanuatu,VUT,GDP per capita (current US$),2996.621062
World,WLD,GDP per capita (current US$),12236.61574
Samoa,WSM,GDP per capita (current US$),3857.318464
Kosovo,XKX,GDP per capita (current US$),5269.783901
"Yemen, Rep.",YEM,GDP per capita (current US$),
South Africa,ZAF,GDP per capita (current US$),7055.044776
Zambia,ZMB,GDP per capita (current US$),1137.343633
Zimbabwe,ZWE,GDP per capita (current US$),1773.920411
